identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/InvoicingEntity,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/availability,product/datatransferout,product/description,product/durability,product/feeCode,product/feeDescription,product/fromLocation,product/fromLocationType,product/fromRegionCode,product/group,product/groupDescription,product/jobType,product/location,product/locationType,product/logsDestination,product/maxThroughputvolume,product/operation,product/platoclassificationtype,product/productFamily,product/region,product/regionCode,product/servicecode,product/servicename,product/sku,product/storage,product/storageClass,product/storageMedia,product/toLocation,product/toLocationType,product/toRegionCode,product/transferType,product/usagetype,product/version,product/volumeType,pricing/RateCode,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod,resourceTags/user:awsApplication
o6upmxuh5qweh43jly5ermfi2v5pfg3cohf5keubfpdhvlugjt6q,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSAmplify,APS3-DataStorage,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSAmplify usage type APS3-DataStorage,India GST,Amazon Web Services India Private Limited,AWS Amplify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htwkgkqvlfck6oshzfx6zrq5zbmz7lck5qnkkgtrqzj52dqqtg4q,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSAmplify,APS3-DataTransferOut,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSAmplify usage type APS3-DataTransferOut,India GST,Amazon Web Services India Private Limited,AWS Amplify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pxbp7eazpyid4mwsvubjgncxl5niidxt5smecar7vrq7d4mtsvna,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,APS3-DataTransfer-In-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type APS3-DataTransfer-In-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plujhqpzvuvgo6xqu4psihwgv57ngxyjlneia456fdca5537t7cq,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,APS3-DataTransfer-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type APS3-DataTransfer-Out-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jkeck2r7gc2qmp4erapps4oiebstdjwum6l4wjn53twfctr27szq,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,APS3-DataTransfer-Regional-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type APS3-DataTransfer-Regional-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cvlgmd6pz65h4lyg6vbcxeuiy34xfwl7yfx5y2ullu6hi3kwryya,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,APS3-DataTransfer-xAZ-In-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type APS3-DataTransfer-xAZ-In-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jjewmbnvxuk66kfwd55nyzphmf4pgaixxwlmbmkzaby5zevysyva,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,APS3-DataTransfer-xAZ-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type APS3-DataTransfer-xAZ-Out-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lk5rkjepwralpiv2u2ksxsbm3p5mgq2xu4fhy7pewhthl4aanemq,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,APS3-USE1-AWS-In-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type APS3-USE1-AWS-In-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x6ajhspv7el5bxrk6wb7aj3vwwzt4yhgvurmo6qwv6pibarwi75a,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,APS3-USE1-AWS-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type APS3-USE1-AWS-Out-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybuojah4yauscxxo3xbtcwpp2qgusnugt6tuwglt3qhpox4lwk6q,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,DataTransfer-In-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type DataTransfer-In-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtqnvksnyuv377jdv5gwrkcgrxp4q7rxptx6jningbnvc4hdtdpq,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,DataTransfer-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type DataTransfer-Out-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqxmisqxnohhqz4icpz3vn57xqvceabyv356s2exvzj542fssfhq,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,USE1-APS3-AWS-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type USE1-APS3-AWS-Out-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ncu7kxgnozwufuyp7rner6lxmdmkvx34m6mgxwhlforghtlyira,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSDataTransfer,USE1-EUN1-AWS-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type USE1-EUN1-AWS-Out-Bytes,India GST,Amazon Web Services India Private Limited,AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omesu72awgal5ivwmbsiyonuqvy2ir23ojftemgkrvny5t2ic3xa,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSGlue,APS3-Catalog-Request,Request,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSGlue usage type APS3-Catalog-Request operation Request,India GST,Amazon Web Services India Private Limited,AWS Glue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psrhdoin5nchkkgmzk4ftmtc742fzfsjjokkhj7vjvrrzf55lwwa,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSGlue,APS3-Catalog-Storage,Storage,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSGlue usage type APS3-Catalog-Storage operation Storage,India GST,Amazon Web Services India Private Limited,AWS Glue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zg6whvwam47cvnsen7nlnqbrbxfmbv5i4qt6optqrsa3653wlbpa,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSGlue,EUN1-Catalog-Request,Request,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSGlue usage type EUN1-Catalog-Request operation Request,India GST,Amazon Web Services India Private Limited,AWS Glue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shbjo4fjvrggw4jm42ubilwfbqvj4rjirjtho3tzs74iiesw2y7a,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSGlue,USE1-Catalog-Request,Request,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSGlue usage type USE1-Catalog-Request operation Request,India GST,Amazon Web Services India Private Limited,AWS Glue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasmnbetvqc2pjuyqvqgkoeoa4gdujiqdwrr2za4snvh3nzezzvq,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSLambda,APS3-Lambda-GB-Second,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSLambda usage type APS3-Lambda-GB-Second,India GST,Amazon Web Services India Private Limited,AWS Lambda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u75sluqyf2u4wkgv7kbg4bhp5iaqeukvqalwv5zly7pni5to4hlq,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,Amazon Web Services India Private Limited,AWS,Anniversary,763165854974,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,763165854974,Tax,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,AWSLambda,APS3-Request,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSLambda usage type APS3-Request,India GST,Amazon Web Services India Private Limited,AWS Lambda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
